,x,y,SYMBOL,Color
0,-1165.280518,-10384.90137,23958,265000
1,-495.2906494,-10009.99121,17754,265000
2,-754.7762451,-11164.75293,25760,265000
3,-702.3432617,-10496.20215,489,265000
4,-2538.711914,-10305.67676,503,265000
5,-1037.588379,-9769.947266,17832,265000
6,1067.606323,-11741.9082,18314,265000
7,815.0097046,-10941.21387,29849,265000
8,536.994751,-10323.96875,32565,265000
9,-168.2958069,-10696.8125,37717,265000
10,186.9010925,-7415.385254,1704,265000
11,140.1760864,-7430.258301,18534,265000
12,78.15688324,-8207.543945,1719,265000
13,-51.73552704,-9171.131836,1740,265000
14,355.5604553,-8709.402344,1739,265000
15,810.387207,-9721.463867,42003,265000
16,372.8907776,-9233.850586,1064,265000
17,614.1104126,-9658.423828,1613,265000
18,1131.667969,-9811.413086,1617,265000
19,654.2181396,-10087.79199,1571,265000
20,770.3223267,-10384.85156,14436,265000
21,689.0261841,-11854.64746,12843,265000
22,678.395813,-10792.21289,38925,265000
23,575.7404785,-11394.51172,16199,265000
24,253.976532,-6936.798828,1585,265000
25,221.7449036,-6444.184082,25408,265000
26,-648.0507202,-10160.67773,1927,265000
27,-1298.196411,-9339.704102,31520,265000
28,-1824.575073,-10261.05273,13770,265000
29,-1427.305786,-10076.60352,19232,265000
30,286.9882812,-10217.54102,30656,265000
31,146.6333771,-10586.73535,23516,265000
32,452.6739502,-9616.006836,25902,265000
33,-1012.61261,-9946.879883,34847,265000
34,201.7146301,-10301.05762,34850,265000
35,444.1358337,-11359.17676,5910,265000
36,1339.80542,-9989.202148,5814,265000
37,-1721.621826,-10160.90723,657,265000
38,-875.6149902,-9583.666016,18611,265000
39,1562.384521,-9219.616211,6258,265000
40,1087.532349,-9997.411133,5315,265000
41,1440.150269,-10329.85059,25197,265000
42,1595.012451,-9906.345703,25201,265000
43,-551.9555664,-9352.101563,1955,265000
44,-1324.544556,-8913.680664,8283,265000
45,1037.170288,-10767.62109,27805,265000
46,-764.8950195,-9627.102539,7397,265000
47,-835.4593506,-9194.224609,30753,265000
48,197.5573578,-9533.295898,7662,265000
49,907.6828003,-10683.52344,7667,265000
50,-506.8036499,-10255.00488,40334,265000
51,-1373.656982,-9240.805664,21527,265000
52,640.3317871,-9441.957031,7372,265000
53,-1122.218506,-9795.764648,23754,265000
54,97.68516541,-10846.13574,13930,265000
55,997.93396,-11074.34668,31647,265000
56,1188.213989,-10920.66699,14039,265000
57,592.8846436,-9101.208984,40170,265000
58,871.895874,-10180.46973,8352,265000
59,1957.213867,-10415.04004,27336,265000
60,1604.484497,-10322.3291,24167,265000
61,1945.987671,-10445.34375,27341,265000
62,1211.504761,-10279.11523,24175,265000
63,1730.472412,-10336.11426,8256,265000
64,2115.269531,-10517.46777,27339,265000
